Start Time,End Time,Tag,Note,Tree Type,Is Success
2024-09-17T13:57:15.509-0700,2024-09-17T14:33:07.078-0700,Unset,,Cedar,True
2024-09-17T14:41:32.443-0700,2024-09-17T15:10:44.987-0700,Unset,,Cedar,True
2024-09-17T15:10:49.566-0700,2024-09-17T15:36:18.461-0700,study,,Cedar,True
2024-09-17T15:45:31.348-0700,2024-09-17T16:21:47.167-0700,study,,Pumpkin,True
2024-09-17T16:23:09.034-0700,2024-09-17T16:51:31.456-0700,study,,Cedar,True
2024-09-17T16:51:35.644-0700,2024-09-17T17:25:02.828-0700,study,,Cedar,True
2024-09-17T17:25:09.353-0700,2024-09-17T18:03:06.136-0700,study,,Cedar,True
2024-09-17T18:36:58.854-0700,2024-09-17T19:17:09.482-0700,study,,Cedar,True
2024-09-17T20:14:24.512-0700,2024-09-17T20:43:11.289-0700,study,,Cedar,True
2024-09-17T21:11:34.772-0700,2024-09-17T21:49:19.765-0700,study,,Cedar,True
2024-09-17T22:01:58.717-0700,2024-09-17T23:03:20.341-0700,study,,Cedar,True
2024-09-17T23:03:56.201-0700,2024-09-17T23:31:08.074-0700,study,,Cedar,True
2024-09-17T23:32:07.772-0700,2024-09-18T01:32:07.772-0700,study,,Cedar,True
2024-09-18T11:50:47.359-0700,2024-09-18T12:25:42.948-0700,study,,Cedar,True
2024-09-18T12:35:08.513-0700,2024-09-18T13:00:19.952-0700,study,,Cedar,True
2024-09-18T13:00:46.158-0700,2024-09-18T13:32:16.251-0700,dora,,Cedar,True
2024-09-18T13:33:10.798-0700,2024-09-18T14:03:49.945-0700,dora,,Bush,True
2024-09-18T14:09:12.612-0700,2024-09-18T15:01:06.431-0700,dora,,Bush,True
2024-09-18T15:06:47.209-0700,2024-09-18T15:38:42.552-0700,dora,,Bush,True
2024-09-18T15:48:19.139-0700,2024-09-18T16:14:54.871-0700,leetcode,,Bush,True
2024-09-18T16:24:01.229-0700,2024-09-18T18:07:15.536-0700,leetcode,,Bush,True
2024-09-18T21:04:34.284-0700,2024-09-18T21:46:35.423-0700,leetcode,,Bush,True
2024-09-19T09:24:42.961-0700,2024-09-19T09:58:58.552-0700,job,,Bush,True
2024-09-19T10:02:32.693-0700,2024-09-19T10:32:45.034-0700,job,,Bush,True
2024-09-19T10:37:01.534-0700,2024-09-19T11:07:35.899-0700,job,,Pumpkin,True
2024-09-19T11:22:15.276-0700,2024-09-19T12:09:35.086-0700,job,,Star Coral,True
2024-09-19T13:37:08.710-0700,2024-09-19T14:02:21.977-0700,job,,Star Coral,True
2024-09-19T14:06:45.048-0700,2024-09-19T14:47:37.453-0700,job,,Star Coral,True
2024-09-19T14:50:14.628-0700,2024-09-19T15:20:47.449-0700,job,,Star Coral,True
2024-09-19T15:31:18.315-0700,2024-09-19T16:11:24.843-0700,job,,Monstera,True
2024-09-19T16:19:50.533-0700,2024-09-19T17:06:07.676-0700,job,,Monstera,True
2024-09-19T18:26:05.765-0700,2024-09-19T20:26:05.765-0700,study,,Cedar,True
2024-09-19T22:27:19.415-0700,2024-09-20T00:27:19.415-0700,study,,Cedar,True
2024-09-20T08:16:13.226-0700,2024-09-20T08:58:10.086-0700,exercise,,Cedar,True
2024-09-20T10:42:29.097-0700,2024-09-20T11:34:06.456-0700,job,,Monstera,True
2024-09-20T11:44:20.630-0700,2024-09-20T12:10:37.344-0700,job,,Monstera,True
2024-09-20T12:10:47.867-0700,2024-09-20T13:06:07.465-0700,job,,Monstera,True
2024-09-20T14:10:40.030-0700,2024-09-20T14:50:19.396-0700,leetcode,,Monstera,True
2024-09-20T17:33:53.204-0700,2024-09-20T19:33:53.204-0700,job,,Monstera,True
2024-09-20T21:59:45.087-0700,2024-09-20T23:00:06.548-0700,job,,Monstera,True
2024-09-20T23:00:11.401-0700,2024-09-21T00:02:52.650-0700,job,,Monstera,True
2024-09-21T08:55:30.120-0700,2024-09-21T09:25:30.120-0700,job,,Monstera,True
2024-09-21T09:36:19.129-0700,2024-09-21T10:19:52.275-0700,job,,Monstera,True
2024-09-21T10:30:45.191-0700,2024-09-21T11:20:13.179-0700,job,,Cedar,True
2024-09-21T11:20:23.890-0700,2024-09-21T12:02:18.720-0700,job,,Cedar,True
2024-09-21T14:39:00.235-0700,2024-09-21T15:19:46.636-0700,job,,Cedar,True
2024-09-21T15:21:38.856-0700,2024-09-21T16:02:02.607-0700,job,,Cedar,True
2024-09-21T16:02:05.521-0700,2024-09-21T17:07:47.699-0700,job,,Cedar,True
2024-09-21T17:11:09.523-0700,2024-09-21T18:08:30.755-0700,job,,Cedar,True
2024-09-21T18:08:41.672-0700,2024-09-21T18:54:01.604-0700,job,,Cedar,True
2024-09-21T19:51:32.711-0700,2024-09-21T20:47:49.705-0700,job,,Cedar,True
2024-09-21T20:56:05.749-0700,2024-09-21T22:12:45.705-0700,job,,Osmanthus,True
2024-09-21T22:19:59.808-0700,2024-09-21T23:51:55.133-0700,job,,Osmanthus,True
2024-09-22T09:28:40.941-0700,2024-09-22T09:58:49.655-0700,study,,Osmanthus,True
2024-09-22T10:10:36.903-0700,2024-09-22T11:01:20.231-0700,job,,Osmanthus,True
2024-09-22T11:02:52.976-0700,2024-09-22T11:39:47.164-0700,job,,Osmanthus,True
2024-09-22T12:39:59.927-0700,2024-09-22T14:39:59.927-0700,job,,Osmanthus,True
2024-09-22T14:50:32.344-0700,2024-09-22T15:22:59.529-0700,job,,Monstera,True
2024-09-22T15:47:25.936-0700,2024-09-22T16:32:12.639-0700,job,,Monstera,True
2024-09-22T16:33:15.816-0700,2024-09-22T17:17:04.580-0700,job,,Monstera,True
2024-09-22T20:53:14.880-0700,2024-09-22T21:33:54.660-0700,job,,Monstera,True
2024-09-22T21:34:07.769-0700,2024-09-22T22:22:07.853-0700,job,,Monstera,True
2024-09-22T22:22:30.856-0700,2024-09-22T23:08:38.467-0700,job,,Monstera,True
2024-09-23T08:46:44.707-0700,2024-09-23T09:30:24.461-0700,job,,Cedar,True
2024-09-23T09:47:16.832-0700,2024-09-23T10:52:20.571-0700,job,,Cedar,True
2024-09-23T11:14:33.828-0700,2024-09-23T11:56:51.794-0700,job,,Pumpkin,True
2024-09-23T13:53:49.721-0700,2024-09-23T14:34:47.656-0700,job,,Pumpkin,True
2024-09-23T14:36:00.670-0700,2024-09-23T15:23:34.894-0700,job,,Pumpkin,True
2024-09-23T15:33:20.615-0700,2024-09-23T16:05:40.991-0700,job,,Pumpkin,True
2024-09-23T16:44:26.079-0700,2024-09-23T17:36:14.032-0700,job,,Pumpkin,True
2024-09-23T17:36:27.328-0700,2024-09-23T19:35:44.876-0700,study,,Osmanthus,True
2024-09-23T22:36:04.037-0700,2024-09-23T23:16:16.119-0700,study,,Osmanthus,True
2024-09-23T23:24:21.134-0700,2024-09-23T23:55:13.890-0700,study,,Osmanthus,True
2024-09-23T23:59:03.166-0700,2024-09-24T00:29:10.269-0700,study,,Osmanthus,True
2024-09-24T08:58:22.255-0700,2024-09-24T09:28:30.292-0700,study,,Osmanthus,True
2024-09-24T09:28:30.361-0700,2024-09-24T10:00:49.308-0700,study,,Osmanthus,True
2024-09-24T10:13:21.950-0700,2024-09-24T10:55:42.848-0700,study,,Osmanthus,True
2024-09-24T10:56:48.995-0700,2024-09-24T11:42:41.828-0700,study,,Cedar,True
2024-09-24T11:57:26.508-0700,2024-09-24T12:23:31.781-0700,study,,Cedar,True
2024-09-24T13:46:43.877-0700,2024-09-24T14:16:58.102-0700,job,,Pumpkin,True
2024-09-24T14:17:53.043-0700,2024-09-24T15:01:42.360-0700,job,,Monstera,True
2024-09-24T15:12:51.658-0700,2024-09-24T15:57:11.731-0700,job,,Mooncake Tree,True
